id,name,deadline_time,average_entry_score,highest_score,most_selected,most_transferred_in,most_captained,most_vice_captained,finished
1,Gameweek 1,2025-08-15T17:30:00Z,54,127.0,235.0,1.0,381.0,235.0,True
2,Gameweek 2,2025-08-22T17:30:00Z,51,140.0,235.0,427.0,381.0,235.0,True
3,Gameweek 3,2025-08-30T10:00:00Z,48,118.0,249.0,82.0,430.0,381.0,True
4,Gameweek 4,2025-09-13T10:00:00Z,63,139.0,249.0,419.0,381.0,249.0,True
5,Gameweek 5,2025-09-20T10:00:00Z,42,112.0,249.0,82.0,381.0,249.0,True
6,Gameweek 6,2025-09-27T10:00:00Z,46,124.0,249.0,430.0,430.0,249.0,True
7,Gameweek 7,2025-10-03T17:30:00Z,60,135.0,249.0,430.0,430.0,381.0,True
8,Gameweek 8,2025-10-18T10:00:00Z,56,138.0,430.0,714.0,430.0,82.0,True
9,Gameweek 9,2025-10-24T17:30:00Z,46,124.0,430.0,714.0,430.0,82.0,True
10,Gameweek 10,2025-11-01T13:30:00Z,65,135.0,430.0,119.0,430.0,82.0,True
11,Gameweek 11,2025-11-08T11:00:00Z,38,120.0,430.0,283.0,430.0,82.0,True
12,Gameweek 12,2025-11-22T11:00:00Z,39,134.0,430.0,119.0,430.0,430.0,True
13,Gameweek 13,2025-11-29T13:30:00Z,35,123.0,430.0,136.0,430.0,381.0,True
14,Gameweek 14,2025-12-02T18:00:00Z,58,138.0,430.0,136.0,430.0,430.0,True
15,Gameweek 15,2025-12-06T11:00:00Z,49,133.0,430.0,414.0,430.0,1.0,True
16,Gameweek 16,2025-12-13T13:30:00Z,60,149.0,430.0,414.0,430.0,430.0,True
17,Gameweek 17,2025-12-20T11:00:00Z,66,148.0,430.0,329.0,430.0,414.0,True
18,Gameweek 18,2025-12-26T18:30:00Z,44,118.0,430.0,661.0,430.0,414.0,True
19,Gameweek 19,2025-12-30T18:00:00Z,40,112.0,430.0,450.0,430.0,430.0,True
20,Gameweek 20,2026-01-03T11:00:00Z,42,117.0,430.0,5.0,430.0,661.0,True
21,Gameweek 21,2026-01-06T18:30:00Z,48,118.0,430.0,5.0,430.0,414.0,True
22,Gameweek 22,2026-01-17T11:00:00Z,40,111.0,430.0,5.0,430.0,430.0,True
23,Gameweek 23,2026-01-24T11:00:00Z,44,115.0,430.0,449.0,430.0,136.0,True
24,Gameweek 24,2026-01-31T13:30:00Z,55,126.0,430.0,449.0,430.0,430.0,True
25,Gameweek 25,2026-02-06T18:30:00Z,58,147.0,430.0,249.0,430.0,430.0,True
26,Gameweek 26,2026-02-10T18:00:00Z,58,138.0,430.0,666.0,430.0,430.0,True
27,Gameweek 27,2026-02-21T13:30:00Z,45,117.0,430.0,249.0,430.0,430.0,True
28,Gameweek 28,2026-02-27T18:30:00Z,53,125.0,430.0,373.0,430.0,449.0,True
29,Gameweek 29,2026-03-03T18:00:00Z,54,143.0,430.0,661.0,430.0,82.0,True
30,Gameweek 30,2026-03-14T13:30:00Z,43,110.0,430.0,249.0,430.0,82.0,True
31,Gameweek 31,2026-03-20T18:30:00Z,10,61.0,249.0,684.0,430.0,249.0,False
32,Gameweek 32,2026-04-10T17:30:00Z,0,,,,,,False
33,Gameweek 33,2026-04-18T10:00:00Z,0,,,,,,False
34,Gameweek 34,2026-04-24T17:30:00Z,0,,,,,,False
35,Gameweek 35,2026-05-02T12:30:00Z,0,,,,,,False
36,Gameweek 36,2026-05-09T12:30:00Z,0,,,,,,False
37,Gameweek 37,2026-05-17T12:30:00Z,0,,,,,,False
38,Gameweek 38,2026-05-24T13:30:00Z,0,,,,,,False
