id,first_name,second_name,web_name,team,element_type,now_cost,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,saves,goals_conceded,yellow_cards,red_cards,bonus,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,value_form,value_season,status,chance_of_playing_next_round,position,price
1,David,Raya Martín,Raya,1,1,60,34.4,129,2790,0,0,15,50,22,1,0,6,31,0.00,0.06,0.06,22.30,5.0,4.2,0.8,21.5,a,,GK,6.0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,a,,GK,4.0
3,Karl,Hein,Hein,1,1,40,0.2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,u,0.0,GK,4.0
4,Tommy,Setford,Setford,1,1,39,0.2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,a,,GK,3.9
5,Gabriel,dos Santos Magalhães,Gabriel,1,2,72,42.9,173,2165,3,4,14,0,15,3,0,25,24,1.90,1.65,3.55,15.82,7.8,6.9,1.1,24.0,a,100.0,DEF,7.2
6,William,Saliba,Saliba,1,2,61,13.2,107,2074,1,0,11,0,16,1,0,9,24,0.88,0.70,1.58,15.15,5.8,4.3,1.0,17.5,a,100.0,DEF,6.1
7,Riccardo,Calafiori,Calafiori,1,2,56,5.9,93,1446,1,2,11,0,8,5,0,4,18,2.92,0.49,3.41,8.96,1.8,4.2,0.3,16.6,a,100.0,DEF,5.6
8,Jurriën,Timber,J.Timber,1,2,63,26.9,149,2452,3,6,13,0,20,5,0,9,28,4.71,1.53,6.24,17.45,6.2,5.0,1.0,23.7,a,100.0,DEF,6.3
9,Jakub,Kiwior,Kiwior,1,2,54,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,u,0.0,DEF,5.4
10,Myles,Lewis-Skelly,Lewis-Skelly,1,2,51,1.4,12,311,0,0,0,0,5,3,0,0,1,0.05,0.06,0.11,5.26,0.0,0.9,0.0,2.4,a,,DEF,5.1
11,Benjamin,White,White,1,2,51,0.5,30,409,0,1,3,0,4,0,0,3,5,0.43,0.49,0.92,6.13,0.0,4.3,0.0,5.9,a,100.0,DEF,5.1
13,Brayden,Clarke,Clarke,1,2,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,a,,DEF,3.8
14,Maldini,Kacurri,Kacurri,1,2,39,0.1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,u,0.0,DEF,3.9
15,Josh,Nichols,Nichols,1,2,37,0.2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,a,,DEF,3.7
16,Bukayo,Saka,Saka,1,3,98,7.9,133,1995,6,8,10,0,16,1,0,14,22,6.99,5.75,12.74,14.36,4.8,4.9,0.5,13.6,a,100.0,MID,9.8
17,Martin,Ødegaard,Ødegaard,1,3,78,1.5,62,1070,1,6,4,0,11,0,0,5,13,1.01,2.91,3.92,12.89,1.0,3.1,0.1,7.9,d,75.0,MID,7.8
18,Noni,Madueke,Madueke,1,3,68,0.9,54,889,2,1,6,0,7,0,0,6,12,1.03,2.06,3.09,9.66,1.0,2.7,0.1,7.9,a,100.0,MID,6.8
19,Gabriel,Martinelli Silva,Martinelli,1,3,68,0.9,47,839,1,4,2,0,5,2,0,1,9,3.53,1.00,4.53,7.50,1.8,1.9,0.3,6.9,a,100.0,MID,6.8
20,Leandro,Trossard,Trossard,1,3,66,0.8,99,1675,5,5,8,0,14,1,0,9,18,4.96,2.70,7.66,11.74,1.0,3.8,0.2,15.0,a,100.0,MID,6.6
21,Declan,Rice,Rice,1,3,73,26.2,163,2580,4,9,14,0,21,2,0,21,29,3.05,6.43,9.48,18.78,3.8,5.4,0.5,22.3,a,100.0,MID,7.3
22,Mikel,Merino Zazón,Merino,1,3,54,0.8,66,996,4,3,4,0,9,1,0,5,10,2.99,1.45,4.44,6.59,0.0,3.1,0.0,12.2,i,0.0,MID,5.4
23,Fábio,Ferreira Vieira,Fábio Vieira,1,3,54,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,u,0.0,MID,5.4
24,Christian,Nørgaard,Nørgaard,1,3,51,0.1,6,56,0,0,0,0,1,0,0,0,0,0.05,0.00,0.05,2.23,0.5,1.0,0.1,1.2,a,100.0,MID,5.1
