team_id,team_name,games_played,home_games,away_games,total_goals_scored,total_goals_conceded,goals_scored_per_game,goals_conceded_per_game,home_goals_scored_per_game,home_goals_conceded_per_game,away_goals_scored_per_game,away_goals_conceded_per_game
1,Arsenal,31,15,16,61.0,22.0,1.97,0.71,2.33,0.6,1.62,0.81
2,Aston Villa,30,15,15,40.0,37.0,1.33,1.23,1.4,1.0,1.27,1.47
3,Burnley,30,15,15,32.0,58.0,1.07,1.93,1.0,1.53,1.13,2.33
4,Bournemouth,31,16,15,46.0,48.0,1.48,1.55,1.44,1.06,1.53,2.07
5,Brentford,30,15,15,46.0,42.0,1.53,1.4,1.73,1.13,1.33,1.67
6,Brighton,30,15,15,39.0,36.0,1.3,1.2,1.47,1.07,1.13,1.33
7,Chelsea,30,15,15,53.0,35.0,1.77,1.17,1.53,1.13,2.0,1.2
8,Crystal Palace,30,15,15,33.0,35.0,1.1,1.17,0.93,1.2,1.27,1.13
9,Everton,30,15,15,34.0,35.0,1.13,1.17,1.2,1.27,1.07,1.07
10,Fulham,30,15,15,40.0,43.0,1.33,1.43,1.6,1.2,1.07,1.67
11,Leeds,30,15,15,37.0,48.0,1.23,1.6,1.47,1.33,1.0,1.87
12,Liverpool,30,15,15,49.0,40.0,1.63,1.33,1.8,1.13,1.47,1.53
13,Man City,30,15,15,60.0,28.0,2.0,0.93,2.4,0.73,1.6,1.13
14,Man Utd,31,15,16,56.0,43.0,1.81,1.39,2.0,1.13,1.62,1.62
15,Newcastle,30,15,15,43.0,43.0,1.43,1.43,1.87,1.6,1.0,1.27
16,Nott'm Forest,30,15,15,28.0,43.0,0.93,1.43,0.87,1.27,1.0,1.6
17,Sunderland,30,15,15,30.0,35.0,1.0,1.17,1.47,0.93,0.53,1.4
18,Spurs,30,15,15,40.0,47.0,1.33,1.57,1.2,1.67,1.47,1.47
19,West Ham,30,15,15,36.0,55.0,1.2,1.83,1.2,1.87,1.2,1.8
20,Wolves,31,16,15,24.0,54.0,0.77,1.74,1.06,1.94,0.47,1.53
